ID,RA,Dec,total_associations,ID_36_1,RA_36_1,Dec_36_1,mag_36_1,mag_err_36_1,ID_36_3,RA_36_3,Dec_36_3,mag_36_3,mag_err_36_3,sep_36_1_3,p_any_36_1_3,p_i_36_1_3,ID_36_4,RA_36_4,Dec_36_4,mag_36_4,mag_err_36_4,sep_36_1&3_4,p_any_36_1&3_4,p_i_36_1&3_4,36_associations,ID_45_1,RA_45_1,Dec_45_1,mag_45_1,mag_err_45_1,ID_45_3,RA_45_3,Dec_45_3,mag_45_3,mag_err_45_3,sep_45_1_3,p_any_45_1_3,p_i_45_1_3,ID_45_4,RA_45_4,Dec_45_4,mag_45_4,mag_err_45_4,sep_45_1&3_4,p_any_45_1&3_4,p_i_45_1&3_4,45_associations,sep_mean_36_mean_45,p_any_36_45,p_i_36_45,mean_RA_36,mean_Dec_36,mean_RA_45,mean_Dec_45,good_source?,flux_36_1,flux_36_3,flux_36_4,flux_45_1,flux_45_3,flux_45_4,flux_err_36_1,flux_err_36_3,flux_err_36_4,flux_err_45_1,flux_err_45_3,flux_err_45_4,var_36_1_3,var_36_1_3_abs,var_36_1_4,var_36_1_4_abs,var_36_3_4,var_36_3_4_abs,var_45_1_3,var_45_1_3_abs,var_45_1_4,var_45_1_4_abs,var_45_3_4,var_45_3_4_abs,mean_mag_36,mean_mag_45,amp_36,amp_45,evolved_1,evolved_3,evolved_4,variable_1_3,variable_1_4,variable_3_4,variable_times
510,10.671196,40.91337291,6,4978,10.67124135,40.91337081,16.16250491,0.0504,2818,10.67118952,40.91334004,16.10050491,0.0584,0.17931192,0.966694,1,1776,10.67111813,40.91334768,15.72650491,0.05,0.2661848,0.95842505,1,3,2360,10.6712805,40.91340141,16.04055224,0.0936,6813,10.67122423,40.91339132,15.91655224,0.0786,0.15733424,0.9658171,1,2181,10.67112226,40.91338618,15.51755224,0.057,0.3558475,0.93718874,1,3,0.16083996,0.971343,1,10.671183,40.91335284,10.671209,40.91339297,1,0.096283036,0.101941208,0.14386322,0.06891713,0.077255104,0.111564797,0.00446947,0.005483253,0.006625146,0.005941262,0.00559275,0.005857034,-0.799848705,0.799848705,-5.953632309,5.953632309,-4.874697775,4.874697775,-1.021873131,1.021873131,-5.111871648,5.111871648,-4.236613989,4.236613989,15.99650491,15.82488557,0.436,0.523,1,1,1,0,1,1,2
511,10.6743401,40.9107394,6,4981,10.67439284,40.910726,16.27050491,0.0578,1063,10.67435573,40.91071441,16.40750491,0.0526,0.10924443,0.9705311,1,4590,10.67428841,40.91070732,16.59350491,0.0624,0.23819451,0.9618022,1,3,6849,10.67440698,40.91077941,16.40755224,0.0808,3543,10.67436048,40.91074938,16.57155224,0.0764,0.16640894,0.96520567,1,2180,10.67423613,40.91075988,16.73855224,0.0744,0.40189376,0.92306083,1,3,0.17181733,0.9707008,1,10.67434566,40.91071591,10.67433453,40.91076289,1,0.087166534,0.076833351,0.064736583,0.049150414,0.042259775,0.03623491,0.004640377,0.003722299,0.003720575,0.003657752,0.002973694,0.002482995,1.737010167,1.737010167,3.771162995,3.771162995,2.298495695,2.298495695,1.461732542,1.461732542,2.921460989,2.921460989,1.555192897,1.555192897,16.42383824,16.57255224,0.323,0.331,0,0,0,0,1,0,1
541,10.6279668,40.85274347,6,5245,10.62803562,40.85273257,16.06750491,0.0458,54,10.62798179,40.85270571,15.99350491,0.054,0.17560127,0.966958,1,4160,10.62795921,40.85270668,15.70350491,0.0324,0.1420442,0.96936595,1,3,4661,10.62799965,40.85279493,16.28155224,0.0804,1762,10.62794123,40.85275139,16.05455224,0.0558,0.22332634,0.960237,1,1715,10.62788331,40.85276953,15.85355224,0.066,0.23761587,0.95985985,0.96742094,3,0.24737701,0.96451426,1,10.62799221,40.85271499,10.6279414,40.85277195,1,0.105087189,0.112499288,0.146943295,0.055198488,0.068034184,0.081870451,0.004432931,0.005595246,0.004385009,0.004087511,0.003496528,0.004976761,-1.03833265,1.03833265,-6.712747354,6.712747354,-4.845260971,4.845260971,-2.386268346,2.386268346,-4.141494504,4.141494504,-2.274856899,2.274856899,15.92150491,16.06321891,0.364,0.428,0,0,0,0,1,1,2
555,10.60822609,40.88763485,4,5300,10.60828054,40.88762957,16.27050491,0.119,-99,-99,-99,-99,-99,-99,0,0,2223,10.60827128,40.88755104,16.89050491,0.0846,0.2838291,0.9559399,1,2,623,10.6082513,40.88769676,16.47555224,0.1146,-99,-99,-99,-99,-99,-99,0,0,2602,10.60810125,40.88766202,17.31255224,0.1438,0.42709425,0.9132605,1,2,0.41997933,0.9297316,1,10.60827591,40.88759031,10.60817628,40.88767939,1,0.087166534,-99,0.049243598,0.046166524,-99,0.021356357,0.009553718,-99,0.003837036,0.0048729,-99,0.002828536,-99,-99,3.683464234,3.683464234,-99,-99,-99,-99,4.40338602,4.40338602,-99,-99,16.58050491,16.89405224,0.62,0.837,0,0,0,0,1,0,1
565,10.64919456,40.84979336,6,5342,10.64927279,40.84978443,15.83450491,0.061,6883,10.64922392,40.84978258,16.04550491,0.0704,0.13324626,0.96947277,1,7479,10.64918012,40.84979935,16.13350491,0.0642,0.19437169,0.9659245,1,3,7476,10.64923407,40.84983565,15.82055224,0.1042,7877,10.64915844,40.84977681,15.97355224,0.0864,0.29544058,0.95028377,1,1819,10.64909801,40.84978132,16.17255224,0.082,0.28216404,0.95241886,1,3,0.17228712,0.9706721,1,10.64922561,40.84978879,10.64916351,40.84979793,1,0.130241616,0.107238264,0.098889408,0.084397033,0.073303917,0.061027725,0.007317375,0.006953414,0.005847369,0.008099731,0.005833331,0.004609106,2.278856259,2.278856259,3.347187016,3.347187016,0.918946669,0.918946669,1.111350707,1.111350707,2.507622763,2.507622763,1.651249185,1.651249185,16.00450491,15.98888557,0.299,0.352,0,0,0,0,1,0,1
567,10.62787291,40.87754986,5,5350,10.62792484,40.87753936,16.42950491,0.0688,7991,10.62786292,40.8775358,16.56150491,0.046,0.16903257,0.96740705,1,7458,10.62785584,40.87752445,15.79650491,0.043,0.11382346,0.9706781,1,3,18,10.62789314,40.87759705,16.30155224,0.064,-99,-99,-99,-99,-99,-99,0,0,126,10.62783609,40.87753599,15.55655224,0.064,0.26913565,0.95441234,1,2,0.12815464,0.9729414,1,10.6278812,40.8775332,10.62786462,40.87756652,1,0.075292163,0.066672966,0.134880689,0.054191002,-99,0.107628474,0.004771049,0.002824771,0.005341877,0.003194352,-99,0.006344287,1.55452978,1.55452978,-8.319745411,8.319745411,-11.28750565,11.28750565,-99,-99,-7.523131773,7.523131773,-99,-99,16.26250491,15.92905224,0.765,0.745,1,0,1,0,1,0,1
710,10.71541729,40.83801066,6,6091,10.71545262,40.8380182,16.11850491,0.035,3062,10.71543224,40.83796777,16.17750491,0.0654,0.18984401,0.9659027,1,4703,10.7154027,40.83799311,15.97450491,0.0454,0.10821043,0.970899,1,3,1484,10.71546823,40.83804636,16.24155224,0.0622,2815,10.71539946,40.83799937,16.33755224,0.0652,0.25238663,0.9568036,1,941,10.71534849,40.83803915,16.15855224,0.061,0.23975289,0.9583101,1,3,0.14254263,0.9722931,1,10.71542919,40.83799303,10.71540539,40.83802829,1,0.100265096,0.094961983,0.114485313,0.05727,0.052423641,0.061819741,0.003232165,0.005720094,0.004787197,0.003280902,0.003148114,0.003473223,0.807157216,0.807157216,-2.461876184,2.461876184,-2.617417878,2.617417878,1.065843482,1.065843482,-0.952262322,0.952262322,-2.004444522,2.004444522,16.09017158,16.24588557,0.203,0.179,0,0,0,0,0,1,1
718,10.71751473,40.85686585,6,6123,10.71757389,40.85689121,15.35650491,0.04,4750,10.71752886,40.85685268,15.24950491,0.0356,0.18512985,0.96626467,1,1125,10.71748863,40.85685277,15.17650491,0.0362,0.18426381,0.96670306,1,3,6040,10.71756822,40.8568633,15.27255224,0.058,2296,10.71749489,40.85686895,15.11055224,0.0534,0.20069966,0.96246445,1,3730,10.71743391,40.85686618,15.01455224,0.0556,0.2658724,0.95488477,1,3,0.08566892,0.97439665,1,10.71753046,40.85686555,10.71749901,40.85686614,1,0.202278524,0.223228569,0.238753516,0.139806441,0.162303237,0.177307531,0.007452216,0.0073194,0.007960384,0.007468456,0.007982595,0.009079829,-2.00564659,2.00564659,-3.34501721,3.34501721,-1.435641852,1.435641852,-2.057961781,2.057961781,-3.189750113,3.189750113,-1.241062592,1.241062592,15.26083824,15.13255224,0.18,0.258,0,1,1,1,1,0,2
724,10.69516492,40.89520705,6,6138,10.69522358,40.89522446,16.37250491,0.0738,3033,10.69521539,40.89518313,16.58050491,0.081,0.15044796,0.96855706,1,183,10.69513587,40.89519025,16.16850491,0.0588,0.23270524,0.9623913,1,3,2426,10.6951972,40.89524035,15.54155224,0.0582,2775,10.6951382,40.89519513,15.62655224,0.0542,0.22864625,0.9596593,1,950,10.69507925,40.89520897,15.26955224,0.0594,0.2427581,0.95794654,1,3,0.15569982,0.9716247,1,10.69519161,40.89519928,10.69513822,40.89521482,1,0.07935052,0.065516362,0.095752424,0.109125735,0.100908368,0.140193275,0.005393638,0.004887767,0.005185645,0.005849596,0.00503735,0.007669893,1.900597652,1.900597652,-2.192144095,2.192144095,-4.243007831,4.243007831,1.064476994,1.064476994,-3.220774231,3.220774231,-4.281186285,4.281186285,16.37383824,15.47921891,0.412,0.357,1,0,1,0,1,1,2
743,10.62322668,40.87163323,6,6285,10.62328217,40.8716321,15.82550491,0.0544,2256,10.62323802,40.87161915,15.78650491,0.0486,0.12891202,0.9696822,1,5552,10.62321387,40.87160686,15.56750491,0.0442,0.142822,0.9693248,1,3,4707,10.62325605,40.8716665,15.80755224,0.0538,442,10.62322463,40.87163661,15.56355224,0.0576,0.13745715,0.9670057,1,456,10.62314536,40.87163817,15.33655224,0.049,0.26300997,0.9552906,1,3,0.13988751,0.9724191,1,10.62324469,40.87161937,10.62320868,40.87164709,1,0.131325715,0.136128724,0.16655197,0.08541363,0.106936799,0.131803572,0.006579977,0.006093429,0.006780281,0.004232385,0.005673164,0.005948383,-0.535568801,0.535568801,-3.728359818,3.728359818,-3.337333278,3.337333278,-3.040861075,3.040861075,-6.354408372,6.354408372,-3.025162615,3.025162615,15.72650491,15.56921891,0.258,0.471,0,1,1,0,1,1,2
759,10.68723912,40.89974419,5,6345,10.68729116,40.89975343,15.00450491,0.0248,-99,-99,-99,-99,-99,-99,0,0,5963,10.68720648,40.8997235,15.79650491,0.0436,0.25436905,0.9599301,1,2,1531,10.68729926,40.89976189,14.43055224,0.064,2200,10.68722932,40.89973733,14.57755224,0.0474,0.20984815,0.96160716,1,4906,10.6871597,40.89975052,15.40055224,0.0668,0.2846169,0.95202357,1,3,0.06695788,0.9748382,1,10.68724882,40.89973847,10.68722943,40.89974991,1,0.279736911,-99,0.134880689,0.303617766,0.265171705,0.124258807,0.006389651,-99,0.005416415,0.017897107,0.011576605,0.007645032,-99,-99,17.29323703,17.29323703,-99,-99,1.803719137,1.803719137,9.216055,9.216055,10.15723872,10.15723872,15.40050491,14.80288557,0.792,0.97,1,0,1,0,1,0,1
788,10.64013699,40.8470206,6,6494,10.64020842,40.84703602,16.31550491,0.0512,7355,10.64017821,40.84700539,16.30550491,0.0524,0.13757648,0.9692551,1,11313,10.64015842,40.84699926,16.94450491,0.0708,0.12243546,0.97031397,1,3,3355,10.64015174,40.84701127,16.82855224,0.098,7155,10.64012088,40.84703037,16.72555224,0.0936,0.108584434,0.9683933,1,9831,10.6400043,40.84704131,17.09055224,0.1028,0.36698598,0.9341606,1,3,0.24862684,0.96438146,1,10.64018168,40.84701356,10.64009231,40.84702765,1,0.083627627,0.084401424,0.046854335,0.033352407,0.036671374,0.026201562,0.003943623,0.004073397,0.003055334,0.003010433,0.003161395,0.002480824,-0.136480975,0.136480975,7.371302427,7.371302427,7.373859663,7.373859663,-0.760281242,0.760281242,1.833116548,1.833116548,2.605357668,2.605357668,16.52183824,16.88155224,0.639,0.365,0,0,0,0,0,1,1
795,10.65606454,40.8385996,6,6514,10.65613076,40.83859622,15.53050491,0.0374,7489,10.65608567,40.83857034,15.88850491,0.053,0.15414876,0.96834177,1,6889,10.65604101,40.83857812,16.10050491,0.0452,0.18397957,0.96672416,1,3,6244,10.65607667,40.83863891,15.57455224,0.0542,6579,10.65605564,40.83859266,15.93255224,0.0568,0.17607649,0.9802676,0.54696584,5302,10.65599751,40.83862135,16.23455224,0.051,0.18803157,0.9634978,1,3,0.17405416,0.970563,1,10.65608581,40.83858156,10.65604327,40.83861764,1,0.17232559,0.123922388,0.101941208,0.105858852,0.076124978,0.057640426,0.005936043,0.006049247,0.004243888,0.005284479,0.003982458,0.002707529,5.711118338,5.711118338,9.645571086,9.645571086,2.974670647,2.974670647,4.493506977,4.493506977,8.120708015,8.120708015,3.838417207,3.838417207,15.83983824,15.91388557,0.57,0.66,0,0,0,1,1,1,3
807,10.6708611,40.84195305,5,6564,10.67091927,40.84196844,16.26650491,0.0428,8288,10.67087249,40.84193569,16.05250491,0.077,0.17358583,0.96709824,1,5782,10.67084799,40.84193157,16.04650491,0.0474,0.14984941,0.96894026,1,3,7796,10.67087415,40.84198874,16.56855224,0.0936,-99,-99,-99,-99,-99,-99,0,0,4706,10.67081041,40.841933,16.18655224,0.0714,0.26533124,0.95496213,1,2,0.11694201,0.9733899,1,10.67087992,40.84194523,10.67084228,40.84196087,1,0.087488259,0.106549097,0.107139539,0.042376705,-99,0.060245856,0.00344881,0.007556422,0.004677392,0.003653244,-99,0.003961878,-2.294758451,2.294758451,-3.381509528,3.381509528,-0.066439377,0.066439377,-99,-99,-3.31577972,3.31577972,-99,-99,16.12183824,16.37755224,0.22,0.382,0,0,0,0,1,0,1
820,10.69735986,40.84557866,6,6621,10.69745862,40.84557201,16.65050491,0.09,7277,10.6973234,40.84558458,16.39450491,0.085,0.37101597,0.9375421,1,7560,10.69730724,40.84557333,16.49150491,0.1062,0.22883083,0.9627937,1,3,6421,10.69746655,40.84559151,17.07755224,0.096,6315,10.69732844,40.84557039,16.32055224,0.09,0.38372433,0.9292801,1,2806,10.6972749,40.84558013,16.45455224,0.063,0.33387724,0.9425384,1,3,0.022811372,0.97543865,1,10.69736309,40.84557664,10.69735663,40.84558068,1,0.061425652,0.07775884,0.071113127,0.026517171,0.053250928,0.047068156,0.00509176,0.006087576,0.006955846,0.002344629,0.004414133,0.002731137,-2.058039801,2.058039801,-1.123795994,1.123795994,0.718960376,0.718960376,-5.3486934,5.3486934,-5.70940202,5.70940202,1.191118199,1.191118199,16.51217158,16.61755224,0.256,0.757,0,0,0,1,0,0,1
848,10.70520986,40.88651829,6,6719,10.70525262,40.88653837,15.68450491,0.0264,5939,10.70520846,40.88649083,15.71750491,0.0354,0.20912962,0.9642829,1,186,10.70517483,40.88651239,15.56750491,0.0382,0.15183045,0.96882766,1,3,7835,10.70528841,40.88652478,15.80055224,0.0742,5617,10.70520426,40.88652319,15.77955224,0.077,0.22909641,0.9596094,1,7261,10.70513059,40.88652016,15.55955224,0.0618,0.3153155,0.94648397,1,3,0.033852596,0.9753448,1,10.70521197,40.88651386,10.70520775,40.88652271,1,0.149537383,0.145060702,0.16655197,0.085966091,0.087645007,0.107331496,0.003636046,0.004729647,0.005859881,0.005874985,0.006215751,0.006109298,0.750394656,0.750394656,-2.467203034,2.467203034,-2.853913257,2.853913257,-0.19629931,0.19629931,-2.520757381,2.520757381,-2.258803221,2.258803221,15.65650491,15.71321891,0.15,0.241,0,0,0,0,1,1,2
867,10.64678202,40.85104087,5,6868,10.64682155,40.85104432,15.49950491,0.0568,7204,10.64679632,40.8510262,15.44250491,0.0552,0.094738476,0.97105545,1,5645,10.64674169,40.85101636,14.96350491,0.0424,0.19534624,0.96584624,1,3,5475,10.64683402,40.85103109,15.78455224,0.0912,-99,-99,-99,-99,-99,-99,0,0,7746,10.64672103,40.85107449,15.13655224,0.066,0.34507793,0.93990934,1,2,0.08921628,0.9742997,1,10.64678652,40.85102896,10.64677753,40.85105279,1,0.177316755,0.186874384,0.290502434,0.087242315,-99,0.158462747,0.009276279,0.009500895,0.011344655,0.007328207,-99,0.009632673,-0.719786801,0.719786801,-7.723681046,7.723681046,-7.003042777,7.003042777,-99,-99,-5.884358816,5.884358816,-99,-99,15.30183824,15.46055224,0.536,0.648,0,0,0,0,1,0,1
873,10.6377663,40.87253612,6,6877,10.63782806,40.872538,15.88850491,0.058,1732,10.63777397,40.87249281,15.71750491,0.058,0.21942393,0.9633209,1,2475,10.63772333,40.87249706,15.62850491,0.0492,0.22154672,0.96352124,1,3,6980,10.6377935,40.87258027,15.90655224,0.0606,1882,10.63778407,40.87254174,15.76955224,0.0702,0.14106338,0.96680486,1,1896,10.63769484,40.87256681,15.62055224,0.0612,0.2565896,0.95617276,1,3,0.19902654,0.96885294,1,10.63777512,40.87250929,10.63775747,40.87256294,1,0.123922388,0.145060702,0.157452578,0.077969937,0.088455976,0.101467552,0.006619931,0.007749139,0.007134944,0.004351866,0.005719262,0.00571945,-2.074052559,2.074052559,-3.445007395,3.445007395,-1.176414909,1.176414909,-1.45908922,1.45908922,-3.269528032,3.269528032,-1.608672908,1.608672908,15.74483824,15.76555224,0.26,0.286,0,0,0,0,1,0,1
880,10.68412524,40.82351357,6,6894,10.68417455,40.82353143,15.90050491,0.036,1766,10.68414331,40.82346128,15.86250491,0.0366,0.26649433,0.95792145,1,5816,10.68410089,40.82349473,15.42050491,0.0458,0.15822177,0.96845144,1,3,2095,10.6841486,40.8235657,16.08255224,0.076,4799,10.68412134,40.82350667,15.96155224,0.0734,0.22511,0.9600457,1,770,10.68406272,40.8235216,15.57655224,0.0666,0.20370765,0.9621237,1,3,0.14984499,0.97193134,1,10.68413958,40.82349581,10.68411089,40.82353132,1,0.122560289,0.126925761,0.190699597,0.066302084,0.074118595,0.105664033,0.004063759,0.004278648,0.00804435,0.004641052,0.005010706,0.006481523,-0.739794017,0.739794017,-7.560508318,7.560508318,-6.999312712,6.999312712,-1.144466902,1.144466902,-4.937652039,4.937652039,-3.85051879,3.85051879,15.72783824,15.87355224,0.48,0.506,0,0,0,0,1,1,2
881,10.64440657,40.87878756,4,6898,10.64439069,40.87878353,16.92750491,0.0714,11936,10.64441428,40.87871227,17.59350491,0.1332,0.26444986,0.9581941,1,-99,-99,-99,-99,-99,-99,0,0,2,7913,10.64436107,40.87881451,17.12955224,0.091,12968,10.64446024,40.87883993,18.08055224,0.1726,0.2850253,0.9520388,1,-99,-99,-99,-99,-99,-99,0,0,2,0.28641662,0.9597765,1,10.64440249,40.8787479,10.64441066,40.87882722,1,0.047593734,0.025772098,-99,0.025277096,0.010527547,-99,0.003129851,0.003161766,-99,0.002118577,0.001673569,-99,4.904948495,4.904948495,-99,-99,-99,-99,5.463095049,5.463095049,-99,-99,-99,-99,17.26050491,17.60505224,0.666,0.951,0,0,0,1,0,0,1
954,10.68920001,40.83962433,6,7210,10.689288,40.83964403,15.29350491,0.0534,8082,10.68921262,40.83960611,15.42450491,0.0648,0.24654463,0.96042573,1,2837,10.68912184,40.839593,16.01350491,0.0906,0.36845052,0.93889785,1,3,705,10.68926046,40.83965981,15.15155224,0.0432,5853,10.6892045,40.83962083,15.14455224,0.047,0.20717332,0.9618637,1,5441,10.68911262,40.83962223,15.87555224,0.0804,0.33287778,0.9427635,1,3,0.082447276,0.974481,1,10.68920749,40.83961438,10.68919253,40.83963429,1,0.214362975,0.189998326,0.110445945,0.156288557,0.157299442,0.080228225,0.010543061,0.011339671,0.009216237,0.006218514,0.006809273,0.005940991,1.573569859,1.573569859,7.420843694,7.420843694,5.444106448,5.444106448,-0.109622567,0.109622567,8.843908337,8.843908337,8.528710176,8.528710176,15.57717158,15.39055224,0.72,0.731,1,1,1,0,1,1,2
1002,10.66657205,40.89857181,6,7421,10.66663456,40.8985727,15.55150491,0.0328,5806,10.66658605,40.89854131,15.63750491,0.0388,0.17376553,0.9670858,1,4533,10.66655107,40.89855353,15.71050491,0.0404,0.16167098,0.9682401,1,3,938,10.66662778,40.89859758,15.43155224,0.056,2074,10.66654911,40.89858043,15.61055224,0.062,0.2227967,0.9602934,1,5446,10.66648375,40.8985853,15.64155224,0.0696,0.28520083,0.95192844,1,3,0.15281253,0.9717778,1,10.66659056,40.89855585,10.66655355,40.89858777,1,0.169024545,0.1561528,0.145998964,0.120761134,0.102406419,0.099523853,0.005106217,0.005580295,0.005432589,0.006228606,0.005847827,0.006379874,1.701725467,1.701725467,3.0883465,3.0883465,1.303782038,1.303782038,2.148365357,2.148365357,2.381880136,2.381880136,0.33307248,0.33307248,15.63317158,15.56121891,0.159,0.21,1,0,0,0,1,0,1
1087,10.66383606,40.87964785,6,7728,10.66389444,40.8796597,15.59750491,0.0978,8313,10.66381904,40.87964211,16.01150491,0.1292,0.21477917,0.9637637,1,7978,10.66382462,40.87966247,15.86850491,0.0904,0.0968349,0.97130805,1,3,7179,10.66388567,40.87964404,15.54055224,0.113,7938,10.66381011,40.87962963,15.85055224,0.097,0.21210904,0.9613864,1,7577,10.6637825,40.87964913,16.04155224,0.0918,0.18340673,0.9638735,1,3,0.07364382,0.97469366,1,10.66384603,40.87965476,10.66382609,40.87964093,1,0.162012967,0.110649581,0.126226278,0.10922629,0.08209698,0.068853684,0.014593663,0.013167034,0.010509786,0.011367928,0.007334569,0.005821643,2.613157278,2.613157278,1.989898689,1.989898689,-0.924589496,0.924589496,2.005315569,2.005315569,3.161050532,3.161050532,1.414254049,1.414254049,15.82583824,15.81088557,0.414,0.501,0,1,0,1,0,0,1
1094,10.65202889,40.86352721,4,7773,10.65207361,40.8635445,15.16250491,0.06,7497,10.65201771,40.86349147,14.78750491,0.0386,0.24414793,0.96070415,1,-99,-99,-99,-99,-99,-99,0,0,2,4850,10.65203524,40.86355409,14.51755224,0.0544,1941,10.65198899,40.86351877,14.30755224,0.0362,0.17895031,0.964285,1,-99,-99,-99,-99,-99,-99,0,0,2,0.11291659,0.9735393,1,10.65204566,40.86351799,10.65201212,40.86353643,1,0.241852051,0.341625103,-99,0.280238101,0.340037787,-99,0.013365238,0.012145426,-99,0.01404112,0.011337347,-99,-5.524723838,5.524723838,-99,-99,-99,-99,-3.313581815,3.313581815,-99,-99,-99,-99,14.97500491,14.41255224,0.375,0.21,1,1,0,1,0,0,1
1211,10.71541143,40.83800437,5,-99,-99,-99,-99,-99,3062,10.71543224,40.83796777,16.17750491,0.0654,0.5217776,0.8661716,1,4703,10.7154027,40.83799311,15.97450491,0.0454,0.34154427,0.94539905,1,2,1484,10.71546823,40.83804636,16.24155224,0.0622,2815,10.71539946,40.83799937,16.33755224,0.0652,0.25238663,0.9568036,1,941,10.71534849,40.83803915,16.15855224,0.061,0.23975289,0.9583101,1,3,0.35432348,0.9478617,1,10.71541747,40.83798044,10.71540539,40.83802829,1,-99,0.094961983,0.114485313,0.05727,0.052423641,0.061819741,-99,0.005720094,0.004787197,0.003280902,0.003148114,0.003473223,-99,-99,-99,-99,-2.617417878,2.617417878,1.065843482,1.065843482,-0.952262322,0.952262322,-2.004444522,2.004444522,16.07600491,16.24588557,0.203,0.179,0,0,0,0,0,1,1
1217,10.66508552,40.82221153,5,-99,-99,-99,-99,-99,3678,10.66506321,40.8221389,17.20050491,0.0812,0.48247778,0.8922751,1,11569,10.66509227,40.82214345,18.11950491,0.1066,0.16044222,0.968316,1,2,2796,10.6651904,40.82233622,17.04255224,0.1228,1948,10.66506091,40.82225637,17.08155224,0.121,0.4550567,0.90040493,1,675,10.66502858,40.82225307,17.50955224,0.1368,0.30684304,0.94812834,1,3,0.48298627,0.9026474,1,10.66507774,40.82214118,10.6650933,40.82228189,1,-99,0.037012615,0.015876317,0.02738591,0.026419657,0.017812594,-99,0.002768098,0.001558772,0.003097428,0.002944342,0.002244342,-99,-99,-99,-99,6.653303397,6.653303397,0.226100887,0.226100887,2.502784486,2.502784486,2.324856528,2.324856528,17.66000491,17.21121891,0.919,0.467,0,0,0,0,0,1,1
1232,10.70614999,40.83740117,6,10401,10.70622614,40.83743779,17.92450491,0.1408,1072,10.7061255,40.8373803,16.80450491,0.0682,0.34346634,0.9443698,1,6470,10.70610358,40.83744037,16.76950491,0.0826,0.22678193,0.96300215,1,3,5649,10.70618684,40.83735712,16.97155224,0.0742,5573,10.70618219,40.83739997,16.99555224,0.0932,0.15477903,0.96598125,1,5491,10.70607571,40.83739148,16.67355224,0.0936,0.2999826,0.9493932,1,3,0.1322108,0.97276706,1,10.70615174,40.83741949,10.70614825,40.83738286,1,0.018999833,0.05330277,0.055049043,0.029236621,0.028597442,0.038470442,0.002463929,0.003348188,0.004187989,0.001998052,0.002454815,0.00331649,-8.251692177,8.251692177,-7.419010524,7.419010524,-0.325683915,0.325683915,0.201941378,0.201941378,-2.384852647,2.384852647,-2.392779963,2.392779963,17.16617158,16.88021891,1.155,0.322,0,0,0,0,1,0,1
